Sitio,Código
Via Periférica,1
Cateter Venoso Central,2
Cateter Pai,3
Cateter de Hemodiálise,4
Cateter Via Marrom,5
Cateter Via Branca,6
Cateter Via Azul,7
Cateter Via Vermelha,8
Cateter Permcath,9
Cateter Port-a-cath,10
Cateter Via Distal,11
Cateter Via Proximal,12
Cateter PICC,13
Cateter Via Transparente,14
Cateter de Hemodiálise Via Venosa,15
CATETER DE HEMODIALISE VIA VENOSA,15
Cateter de Hemodiálise Via Arterial,16
CATETER DE HEMODIALISE VIA ARTERIAL,16
Amostra de Doador de Órgãos,17
AMOSTRA DE DOADOR DE ORGÃOS,17
Cateter Via Amarela,18
