Material,Código
Aspirado Traqueal,0.0
Lavado broncoalveolar,1.0
Liquido ascitico,2.0
Liquido pleural,3.0
Partes moles,4.0
Sangue,5.0
Liquido pericardico,6.0
PERICARDIO,6.0
Urina,7.0
Liquido abdominal,8.0
Ponta de cateter,9.0
Outro,10.0
Ferida operatoria,11.0
Lesao perianal,11.0
Pleura pariental,11.0
Fragmento de tecido,11.0
Pele,11.0
Rim,11.0
FRAGMENTO TECIDO,11.0
Mao direita,11.0
Osso,12.0
Esterno,12.0
Fragmento osseo,12.0
Líquido Hepático,13.0
Líquido da loja renal,14.0
Liquor,15.0
Valvula aortica,15.0
Liquido cefalorraquidiano,15.0
Liquido sinovial,16.0
Líquido articular,17.0
Secrecao nasal,18.0
Secrecao ocular,19.0
SECRECAO DE ABSCESSO,20.0
Secrecao de ferida,20.0
Abscesso hepatico,21.0
Secrecao purulenta,21.0
Fragmento de pele,22.0
LIQUIDO BILIAR,23.0
Líquido biliar,23.0
Médula Óssea,24.0
ESCARRO 3ª AMOSTRA,25.0
ESCARRO 2ª AMOSTRA,25.0
ESCARRO 1ª AMOSTRA,25.0
Escarro,25.0
Peça cirúrgica,26.0
Líquido peritoneal,27.0
Líquido intra-cavitário,28.0
Líquido de punção hepática,29.0
Líquido de cisto,30.0
Líquido de coleção pélvica,31.0
Seroma,32.0
SECRECAO TRAQUEAL,33.0
Secreção de orofaringe,34.0
Secreção vaginal,35.0
Secreção urogenital,36.0
Secreção mamária,37.0
SECRECAO ABDOMINAL,38.0
Secreção auricular,39.0
Secreção conjuntival,40.0
Secreção bucal,41.0
Secreção de ferida,42.0
Secreção intra-tumoral,43.0
Secreção pancreática,44.0
Swab nasofaringe,45.0
Tecido cerebral,46.0
Tecido sinovial,47.0
Tecido mole,48.0
Fragmento hepático,49.0
Musculatura,50.0
Restos ovulares,51.0
Fígado,52.0
Vesícula biliar,53.0
Pâncreas,54.0
Rim,55.0
Pulmão,56.0
Mediastino,57.0
Retroperitônio,58.0
Paredes abdominal,59.0
Pleura,60.0
Pleura parietal,61.0
Fêmur direito,62.0
Maxilar direito,63.0
Maxilar esquerdo,64.0
Maxilar (genérico),65.0
Disco intervertebral,66.0
Osso / Partes moles,67.0
Valva mitral,68.0
Valva aórtica,69.0
Valva tricúspide,70.0
Valva cardíaca (genérica),71.0
Linfonodo cervical,72.0
Linfonodo cervical esquerdo,73.0
Couro cabeludo,74.0
Face / Palato,75.0
Torax,76.0
Abdômen,77.0
Axila direita,78.0
Axila esquerda,79.0
Antebraço direito,80.0
Ombro esquerdo,81.0
Braço esquerdo,82.0
Panturrilha,83.0
Perna direita,84.0
Pé direito,85.0
Pé esquerdo,86.0
Nadega,87.0
Cavidade nasal / fossa nasal,88.0
Rinofaringe / nasofaringe,89.0
Orelha direita,90.0
Orelha esquerda,91.0
Ouvido,92.0
Olho direito,93.0
Olho esquerdo,94.0
Órbita,95.0
Lesão cutânea,96.0
Lesão retroauricular,97.0
Úlcera,98.0
Nódulo,99.0
Nodulação glútea,100.0
Massa pélvica,101.0
Tumor,102.0
Corpo estranho,103.0
Abscesso hepático,104.0
Abscesso cerebral,105.0
Abscesso renal,106.0
Abscesso cervical,107.0
Amígdala esquerda,108.0
Etmoide,109.0
Seio frontal,110.0
Seio maxilar direito,111.0
Seio maxilar esquerdo,112.0
Orofaringe,113.0
Traqueia,114.0
Mama direita,115.0
Mama esquerda,116.0
Mama,117.0
Cisto mamário,118.0
