Microrganismo,Código
Enterococcus faecalis, 1
Staphylococcus haemolyticus, 2
Candida glabrata, 3
Proteus mirabilis, 4
Escherichia coli, 5
Klebsiella pneumoniae, 6
Staphylococcus epidermidis, 7
Pseudomonas aeruginosa, 8
Enterobacter cloacae, 9
Stenotrophomonas maltophilia, 10
Candida albicans, 11
Sphingomonas paucimobilis, 12
Staphylococcus aureus, 13
Pseudomonas Fluorescens, 14
Candida parapsilosis, 15
Serratia marcescens, 16
Acinetobacter baumannii, 17
Morganela morganii, 18
Morganella morganii ssp morganii, 18
Morganella morganii, 18
Candida tropicalis, 19
Providencia stuartii, 20
Micrococus sp, 21
Micrococcus spp, 21
Staphylococcus coagulase negativo, 22
Candida famata, 23
Staphylococcus hominis, 24
Complexo Burkholderia cepacia, 25
Burkholderia cepacia, 25
Pseudomonas putida, 26
Streptococcus mitis, 27
Enterococcus faecium, 28
Klebsiella oxytoca, 29
Streptococcus agalactiae, 30
Streptococcus do grupo viridans, 31
Staphylococcus saprophyticus, 32
Citrobacter freundii, 33
Kocuria sp, 34
Kocuria varians, 34
Kocuria kristinae, 34
Staphylococcus spp, 35
Klebsiella aerogenes, 36
Enterobacter spp, 37
Acinetobacter spp, 38
Acinetobacter ursingii, 38
Citrobacter spp, 39
Citrobacter koseri, 40
Proteus spp, 41
Streptococcus pneumoniae, 42
Elizabethkingia meningoseptica, 43
Enterococcus gallinarum, 44
Pseudomonas stutzeri, 45
Salmonella spp, 46
Streptococcus spp, 47
Streptococcus dysgalactiae ssp equisimilis, 47
Streptococcus sanguinis, 47
Acinetobacter lwoffii, 48
Pseudomonas mendocina, 49
Enterococcus spp, 50
Proteus penneri, 51
Proteus hauseri, 52
Providencia rettgeri, 53
Kluyvera cryocrescens, 54
Edwardsiella spp, 55
Staphylococcus lugdunensis, 56
Enterobacter aerogenes, 57
Candida krusei, 58
Citrobacter amalonaticus, 59
Serratia odorifera, 60
Salmonella entérica, 61
Salmonella enterica ssp enterica, 61
Citrobacter farmeri, 62
Cronobacter sakazakii, 63
Kluyvera intermedia, 64
Moraxella spp, 65
Aeromonas hydrophila, 66
Atlantibacter hermannii, 67
Atlantibacter spp., 68
Atlantibacter subterranea, 69
Bacillus cereus, 70
Bacillus cereus group, 71
Bacillus cereus/Bacillus thuringiensis, 72
Bacillus cereus/thuringiensis/mycoides, 78
Burkholderia pseudomallei, 79
Buttiauxella agrestis, 80
Buttiauxella brennerae, 81
Buttiauxella chrysanthemi, 82
Buttiauxella ferragutiae, 83
Buttiauxella gaviniae, 84
Buttiauxella izardii, 85
Buttiauxella noackiae, 86
Buttiauxella spp., 87
Buttiauxella warmboldiae, 88
Candida ciferrii, 89
Candida guilliermondii, 90
Candidatus Arocatia carayoni, 91
Candidatus Arocatia sp., 92
Candidatus Aschnera chinzeii, 93
Candidatus Aschnera sp., 94
Candidatus Curculioniphilus sp., 95
Candidatus Cutibacterium sp., 96
Candidatus Gillettellia sp., 97
Candidatus Ischnodemia sp., 98
Candidatus Ishikawaella sp., 99
Candidatus Macropleicola sp., 100
Candidatus Moranella endobia, 101
Candidatus Moranella sp., 102
Candidatus Phlomobacter sp., 103
Candidatus Profftia japonica, 104
Candidatus Profftia lariciata, 105
Candidatus Profftia sp., 106
Candidatus Profftia tarda, 107
Candidatus Profftia virida, 108
Candidatus Riesia sp., 109
Candidatus Rohrkolberia sp., 110
Candidatus Schneideria sp., 111
Candidatus Stammerula sp., 112
Cedecea colo, 113
Cedecea davisae, 114
Cedecea lapagei, 115
Cedecea neteri, 116
Cedecea spp., 117
Citrobacter bitternis, 118
Citrobacter cronae, 119
Citrobacter europaeus, 120
Citrobacter intermedius, 121
Citrobacter koseri, 122
Citrobacter pasteurii, 123
Citrobacter rodentium, 124
Citrobacter sedlakii, 125
Citrobacter spp, 126
