Microrganismo,Código
Acinetobacter baumannii,1.0
Acinetobacter baumannii complex,1.0
Enterobacter cloacae,7.0
Escherichia coli,10.0
Klebsiella pneumoniae,11.0
Klebsiella pneumoniae ssp pneumoniae,11.0
Proteus mirabilis,12.0
Pseudomonas aeruginosa,13.0
Serratia marcescens,14.0
Stenotrophomonas maltophilia,22.0
Sphingomonas paucimobilis,27.0
Burkholderia cepacia,28.0
Complexo Burkholderia cepacia,28.0
Pseudomonas Fluorescens,30.0
Morganela morganii,31.0
Providencia stuartii,32.0
Pseudomonas putida,35.0
Klebsiella oxytoca,36.0
Citrobacter freundii,38.0
Proteus spp,41.0
Morganella morganii ssp morganii,42.0
Morganella morganii,42.0
Morganella spp,42.0
Enterobacter spp,43.0
Klebsiella aerogenes,44.0
Escherichia spp,45.0
Acinetobacter lwoffii,46.0
Acinetobacter spp,47.0
Serratia spp,49.0
Providencia spp,50.0
Citrobacter spp,51.0
Moraxella catarrhalis,52.0
Moraxella spp,53.0
Burkholderia pseudomallei,54.0
Salmonella entérica,55.0
Salmonella spp,56.0
Salmonella group,56.0
Shigella dysenteriae,57.0
Shigella flexneri,58.0
Shigella sonnei,59.0
Shigella boydii,60.0
Shigella spp,61.0
Atlantibacter hermannii,64.0
Atlantibacter spp.,65.0
Atlantibacter subterranea,66.0
Buttiauxella agrestis,67.0
Buttiauxella brennerae,68.0
Buttiauxella chrysanthemi,69.0
Buttiauxella ferragutiae,70.0
Buttiauxella gaviniae,71.0
Buttiauxella izardii,72.0
Buttiauxella noackiae,73.0
Buttiauxella spp.,74.0
Buttiauxella warmboldiae,75.0
Candidatus Arocatia carayoni,76.0
Candidatus Arocatia sp.,77.0
Candidatus Aschnera chinzeii,78.0
Candidatus Aschnera sp.,79.0
Candidatus Curculioniphilus sp.,80.0
Candidatus Gillettellia sp.,82.0
Candidatus Ischnodemia sp.,83.0
Candidatus Ishikawaella sp.,84.0
Candidatus Macropleicola sp.,85.0
Candidatus Moranella endobia,86.0
Candidatus Moranella sp.,87.0
Candidatus Phlomobacter sp.,88.0
Candidatus Profftia japonica,89.0
Candidatus Profftia lariciata,90.0
Candidatus Profftia sp.,91.0
Candidatus Profftia tarda,92.0
Candidatus Profftia virida,93.0
Candidatus Riesia sp.,94.0
Candidatus Rohrkolberia sp.,95.0
Candidatus Schneideria sp.,96.0
Candidatus Stammerula sp.,97.0
Cedecea colo,98.0
Cedecea davisae,99.0
Cedecea lapagei,100.0
Cedecea neteri,101.0
Cedecea spp.,102.0
Citrobacter youngae,103.0
Citrobacter amalonaticus,104.0
Citrobacter bitternis,105.0
Citrobacter cronae,106.0
Citrobacter europaeus,107.0
Citrobacter farmeri,108.0
Citrobacter intermedius,109.0
Citrobacter koseri,110.0
Citrobacter pasteurii,111.0
Citrobacter rodentium,112.0
Citrobacter sedlakii,113.0
Citrobacter telavivensis,114.0
Citrobacter tructae,115.0
Citrobacter werkmanii,116.0
Cronobacter condimenti,117.0
Cronobacter dublinensis,118.0
Cronobacter malonaticus,119.0
Cronobacter muytjensii,120.0
Cronobacter sakazakii,121.0
Cronobacter sakazakii group,121.0
Cronobacter spp.,122.0
Cronobacter turicensis,123.0
Cronobacter universalis,124.0
Edwardsiella hoshinae,126.0
Edwardsiella spp.,127.0
Edwardsiella tarda,128.0
Enterobacter aerogenes,129.0
Enterobacter amnigenus,130.0
Enterobacter asburiae,131.0
Enterobacter bugandensis,132.0
Enterobacter cancerogenus,133.0
Enterobacter dykesii,134.0
Enterobacter gergoviae,135.0
Enterobacter huaxiensis,136.0
Enterobacter mori,137.0
Enterobacter nickellidurans,138.0
Enterobacter oligotrophicus,139.0
Enterobacter quasihormaechei,140.0
Enterobacter quasimori,141.0
Enterobacter siamensis,142.0
Enterobacter soli,143.0
Enterobacter timonensis,144.0
Enterobacter vonholyi,145.0
Enterobacter wuhouensis,146.0
Erwinia billingiae,150.0
Erwinia mallotivora,151.0
Erwinia rhapontici,152.0
Erwinia spp.,153.0
Erwinia tracheiphila,154.0
Escherichia albertii,155.0
Escherichia alba,156.0
Escherichia faecalis,157.0
Escherichia fergusonii,158.0
Escherichia hermannii,159.0
Escherichia marmotae,160.0
Escherichia ruysiae,161.0
Escherichia senegalensis,162.0
Escherichia vulneris,163.0
Ewingella americana,164.0
Franconibacter daqui,165.0
Franconibacter helveticus,166.0
Franconibacter pulveris,167.0
Franconibacter spp.,168.0
Hafnia alvei,169.0
Jejubacter calystegiae,170.0
Klebsiella africana,171.0
Klebsiella granulomatis,172.0
Klebsiella grimontii,173.0
Klebsiella huaxiensis,174.0
Klebsiella indica,175.0
Klebsiella kielensis,176.0
Klebsiella michiganensis,177.0
Klebsiella milletis,178.0
Klebsiella pasteurii,179.0
Klebsiella quasipneumoniae,180.0
Klebsiella quasivariicola,181.0
Klebsiella senegalensis,182.0
Klebsiella spallanzanii,183.0
Klebsiella spp.,184.0
Klebsiella steroids,185.0
Klebsiella variicola,186.0
Kluyvera ascorbata,187.0
Kluyvera cryocrescens,188.0
Kluyvera intermedia,189.0
Kluyvera sichuanensis,190.0
Kluyvera spp.,191.0
Kosakonia arachidis,192.0
Kosakonia cowanii,193.0
Kosakonia oryzae,194.0
Kosakonia oryzendophytica,195.0
Kosakonia oryziphila,196.0
Kosakonia pseudosacchari,197.0
Kosakonia quasisacchari,198.0
Kosakonia radicincitans,199.0
Kosakonia sacchari,200.0
Kosakonia spp.,201.0
Leclercia adecarboxylata,202.0
Lelliottia amnigena,203.0
Lelliottia aquatilis,204.0
Lelliottia jeotgali,205.0
Lelliottia nimipressuralis,206.0
Lelliottia spp.,207.0
Mangrovibacter phragmitis,208.0
Mangrovibacter plantisponsor,209.0
Mangrovibacter spp.,210.0
Mangrovibacter yixingensis,211.0
Metakosakonia massiliensis,212.0
Moellerella wisconsensis,213.0
Obesumbacterium proteus,214.0
Pantoea agglomerans,215.0
Pantoea dispersa,216.0
Pantoea spp.,217.0
Pectobacterium carotovorum,218.0
Phytobacter diazotrophicus,219.0
Phytobacter palmae,220.0
Phytobacter spp.,221.0
Phytobacter ursingii,222.0
Pluralibacter gergoviae,223.0
Pluralibacter pyrinus,224.0
Pluralibacter spp.,225.0
Proteus hauseri,226.0
Proteus penneri,227.0
Proteus vulgaris,228.0
Providencia alcalifaciens,229.0
Providencia rettgeri,230.0
Providencia rustigianii,231.0
Pseudescherichia spp.,232.0
Pseudescherichia vulneris,233.0
Pseudocitrobacter faecalis,234.0
Pseudocitrobacter spp.,235.0
Pseudocitrobacter vendiensis,236.0
Rahnella aquatilis,237.0
Raoultella electrica,238.0
Raoultella ornithinolytica,239.0
Raoultella planticola,240.0
Raoultella spp.,241.0
Raoultella terrigena,242.0
Scandinavium goeteborgense,243.0
Serratia caria,244.0
Serratia fonticola,245.0
Serratia grimesii,246.0
Serratia liquefaciens,247.0
Serratia odorifera,248.0
Serratia plymuthica,249.0
Serratia proteamaculans,250.0
Serratia rubidaea,251.0
Shimwellia blattae,252.0
Shimwellia pseudoproteus,253.0
Shimwellia spp.,254.0
Siccibacter colletis,255.0
Siccibacter spp.,256.0
Siccibacter turicensis,257.0
Superficieibacter electus,258.0
Tatumella ptyseos,259.0
Trabulsiella guamensis,260.0
Trabulsiella odontotermitis,261.0
Trabulsiella spp.,262.0
Yersinia aldovae,263.0
Yersinia enterocolitica,264.0
Yersinia frederiksenii,265.0
Yersinia intermedia,266.0
Yersinia kristensenii,267.0
Yersinia pestis,268.0
Yersinia pseudotuberculosis,269.0
Yersinia rucker,270.0
Yersinia spp.,271.0
Yokenella regensburgei,272.0
Pseudomonas stutzeri,273.0
Pseudomonas mendocina,274.0
Elizabethkingia meningoseptica,275.0
Aeromonas hydrophila,277.0
Pseudomonas luteola,281.0
Achromobacter xylosoxidans,285.0
Bordetella bronchiseptica,286.0
Pseudomonas oryzihabitans,287.0
Pseudomonas oleovorans,289.0
Comamonas testosteroni,290.0
Bordetella trematum,291.0
Roseomonas gilardii,296.0
Francisella tularensis,298.0
Enterobacter cloacae complex,306.0
Cupriavidus pauculus,308.0
Chryseobacterium indologenes,309.0
Achromobacter denitrificans,313.0
Aeromonas salmonicida,315.0
Pandoraea spp.,316.0
Methylobacterium spp.,317.0
Rhizobium radiobacter,318.0
Brevundimonas diminuta/vesicularis,324.0
Pseudomonas spp.,326.0
Pasteurella testudinis,327.0
Pasteurella canis,333.0
