Microrganismo,Código
Enterococcus faecium,8.0
Enterococcus faecalis,9.0
Staphylococcus aureus,15.0
Staphylococcus epidermidis,16.0
Staphylococcus haemolyticus,17.0
Staphylococcus saprophyticus,18.0
Staphylococcus lugdunensis,20.0
Staphyloccos coagulase negativo,21.0
Coagulase negative Staphylococcus,21.0
Staphylococcus lentus,21.0
Staphylococcus xylosus,21.0
Staphylococcus cohnii ssp urealyticus,21.0
Streptococcus agalactiae,23.0
Streptococcus pyogenes,24.0
Streptococcus pneumoniae,25.0
Streptococcus do grupo viridans,26.0
Staphylococcus hominis,34.0
Staphylococcus hominis ssp hominis,34.0
Streptococcus mitis,37.0
Streptococcus spp,39.0
Streptococcus dysgalactiae ssp equisimilis,39.0
Staphylococcus spp,40.0
Enterococcus spp,48.0
Micrococus sp,62.0
Micrococcus spp,62.0
Kocuria sp,63.0
Enterococcus casseliflavus,147.0
Enterococcus gallinarum,148.0
Enterococcus spp.,149.0
Staphylococcus capitis,282.0
Granulicatella elegans,301.0
Aerococcus viridans,302.0
Streptococcus pseudoporcinus,303.0
Staphylococcus sciuri,304.0
Coagulase negative Staphylococcus,305.0
Staphylococcus warneri,307.0
Staphylococcus intermedius,310.0
Enterococcus durans,319.0
Streptococcus gallolyticus subsp. pasteurianus,321.0
Kocuria rhizophila,322.0
Streptococcus group A,328.0
Enterococcus avium,329.0
Leuconostoc mesenteroides subsp. cremoris,330.0
Micrococcus luteus,332.0
Streptococcus gallolyticus,336.0
